2025-01-26 17:33:50,003 - dqn - INFO - Hyperparameters: {'epsilon': 1.0, 'epsilon_decay': 0.995, 'epsilon_min': 0.01, 'gamma': 0.7, 'batch_size': 64, 'learning_rate': 0.02, 'target_update': 100, 'n_steps': 3}
2025-01-26 17:33:50,004 - dqn - INFO - Device: cpu
2025-01-26 17:33:52,045 - dqn - INFO - Finished episode 0; total score 180; avg score 180; epsilon 1.0000000000
2025-01-26 17:33:55,035 - dqn - INFO - Finished episode 1; total score 355; avg score 268; epsilon 0.9950000000
2025-01-26 17:33:56,980 - dqn - INFO - Finished episode 2; total score 135; avg score 223; epsilon 0.9900250000
2025-01-26 17:33:59,334 - dqn - INFO - Finished episode 3; total score 120; avg score 198; epsilon 0.9850748750
2025-01-26 17:34:00,889 - dqn - INFO - Finished episode 4; total score 35; avg score 165; epsilon 0.9801495006
2025-01-26 17:34:02,208 - dqn - INFO - Finished episode 5; total score 65; avg score 148; epsilon 0.9752487531
2025-01-26 17:34:04,278 - dqn - INFO - Finished episode 6; total score 90; avg score 140; epsilon 0.9703725094
2025-01-26 17:34:05,992 - dqn - INFO - Finished episode 7; total score 30; avg score 126; epsilon 0.9655206468
2025-01-26 17:34:07,165 - dqn - INFO - Finished episode 8; total score 65; avg score 119; epsilon 0.9606930436
2025-01-26 17:34:09,470 - dqn - INFO - Finished episode 9; total score 125; avg score 120; epsilon 0.9558895784
2025-01-26 17:34:11,573 - dqn - INFO - Finished episode 10; total score 110; avg score 119; epsilon 0.9511101305
2025-01-26 17:34:12,880 - dqn - INFO - Finished episode 11; total score 65; avg score 115; epsilon 0.9463545798
2025-01-26 17:34:15,658 - dqn - INFO - Finished episode 12; total score 190; avg score 120; epsilon 0.9416228069
2025-01-26 17:34:17,347 - dqn - INFO - Finished episode 13; total score 80; avg score 118; epsilon 0.9369146929
2025-01-26 17:34:19,153 - dqn - INFO - Finished episode 14; total score 65; avg score 114; epsilon 0.9322301194
2025-01-26 17:34:20,403 - dqn - INFO - Finished episode 15; total score 80; avg score 112; epsilon 0.9275689688
2025-01-26 17:34:22,375 - dqn - INFO - Finished episode 16; total score 150; avg score 114; epsilon 0.9229311240
2025-01-26 17:34:24,938 - dqn - INFO - Finished episode 17; total score 210; avg score 119; epsilon 0.9183164684
2025-01-26 17:34:27,111 - dqn - INFO - Finished episode 18; total score 155; avg score 121; epsilon 0.9137248860
2025-01-26 17:34:28,387 - dqn - INFO - Finished episode 19; total score 60; avg score 118; epsilon 0.9091562616
2025-01-26 17:34:29,611 - dqn - INFO - Finished episode 20; total score 45; avg score 115; epsilon 0.9046104803
2025-01-26 17:34:30,724 - dqn - INFO - Finished episode 21; total score 20; avg score 110; epsilon 0.9000874279
2025-01-26 17:34:33,920 - dqn - INFO - Finished episode 22; total score 160; avg score 113; epsilon 0.8955869907
2025-01-26 17:34:35,211 - dqn - INFO - Finished episode 23; total score 45; avg score 110; epsilon 0.8911090558
2025-01-26 17:34:37,242 - dqn - INFO - Finished episode 24; total score 180; avg score 113; epsilon 0.8866535105
2025-01-26 17:34:39,076 - dqn - INFO - Finished episode 25; total score 160; avg score 114; epsilon 0.8822202429
2025-01-26 17:34:40,323 - dqn - INFO - Finished episode 26; total score 70; avg score 113; epsilon 0.8778091417
2025-01-26 17:34:41,686 - dqn - INFO - Finished episode 27; total score 60; avg score 111; epsilon 0.8734200960
2025-01-26 17:34:43,921 - dqn - INFO - Finished episode 28; total score 50; avg score 109; epsilon 0.8690529955
2025-01-26 17:34:46,697 - dqn - INFO - Finished episode 29; total score 300; avg score 115; epsilon 0.8647077306
