2025-01-27 18:28:09,078 - dqn - INFO - Hyperparameters: {'epsilon': 1.0, 'epsilon_decay': 0.997, 'epsilon_min': 0.01, 'gamma': 0.7, 'batch_size': 64, 'learning_rate': 0.01, 'target_update': 100, 'n_steps': 3}
2025-01-27 18:28:09,079 - dqn - INFO - Device: cpu
2025-01-27 18:28:10,930 - dqn - INFO - Finished episode 0; total score 155; avg score 155; epsilon 1.0000000000
2025-01-27 18:28:13,399 - dqn - INFO - Finished episode 1; total score 110; avg score 132; epsilon 0.9970000000
2025-01-27 18:28:15,338 - dqn - INFO - Finished episode 2; total score 75; avg score 113; epsilon 0.9940090000
2025-01-27 18:28:17,408 - dqn - INFO - Finished episode 3; total score 120; avg score 115; epsilon 0.9910269730
2025-01-27 18:28:18,916 - dqn - INFO - Finished episode 4; total score 100; avg score 112; epsilon 0.9880538921
2025-01-27 18:28:20,861 - dqn - INFO - Finished episode 5; total score 150; avg score 118; epsilon 0.9850897304
2025-01-27 18:28:22,431 - dqn - INFO - Finished episode 6; total score 105; avg score 116; epsilon 0.9821344612
2025-01-27 18:28:24,795 - dqn - INFO - Finished episode 7; total score 110; avg score 116; epsilon 0.9791880578
2025-01-27 18:28:27,530 - dqn - INFO - Finished episode 8; total score 465; avg score 154; epsilon 0.9762504937
2025-01-27 18:28:30,247 - dqn - INFO - Finished episode 9; total score 545; avg score 194; epsilon 0.9733217422
2025-01-27 18:28:32,027 - dqn - INFO - Finished episode 10; total score 80; avg score 183; epsilon 0.9704017769
2025-01-27 18:28:34,082 - dqn - INFO - Finished episode 11; total score 90; avg score 175; epsilon 0.9674905716
2025-01-27 18:28:36,909 - dqn - INFO - Finished episode 12; total score 425; avg score 195; epsilon 0.9645880999
2025-01-27 18:28:38,386 - dqn - INFO - Finished episode 13; total score 105; avg score 188; epsilon 0.9616943356
2025-01-27 18:28:40,215 - dqn - INFO - Finished episode 14; total score 110; avg score 183; epsilon 0.9588092526
2025-01-27 18:28:43,574 - dqn - INFO - Finished episode 15; total score 230; avg score 186; epsilon 0.9559328248
2025-01-27 18:28:45,966 - dqn - INFO - Finished episode 16; total score 120; avg score 182; epsilon 0.9530650264
2025-01-27 18:28:48,746 - dqn - INFO - Finished episode 17; total score 330; avg score 190; epsilon 0.9502058313
2025-01-27 18:28:50,781 - dqn - INFO - Finished episode 18; total score 135; avg score 187; epsilon 0.9473552138
2025-01-27 18:28:52,885 - dqn - INFO - Finished episode 19; total score 125; avg score 184; epsilon 0.9445131482
2025-01-27 18:28:57,349 - dqn - INFO - Finished episode 20; total score 375; avg score 193; epsilon 0.9416796087
2025-01-27 18:28:58,762 - dqn - INFO - Finished episode 21; total score 105; avg score 189; epsilon 0.9388545699
2025-01-27 18:29:01,448 - dqn - INFO - Finished episode 22; total score 210; avg score 190; epsilon 0.9360380062
2025-01-27 18:29:03,203 - dqn - INFO - Finished episode 23; total score 80; avg score 186; epsilon 0.9332298922
2025-01-27 18:29:04,843 - dqn - INFO - Finished episode 24; total score 110; avg score 183; epsilon 0.9304302025
2025-01-27 18:29:07,258 - dqn - INFO - Finished episode 25; total score 135; avg score 181; epsilon 0.9276389119
2025-01-27 18:29:08,483 - dqn - INFO - Finished episode 26; total score 80; avg score 177; epsilon 0.9248559951
2025-01-27 18:29:10,687 - dqn - INFO - Finished episode 27; total score 185; avg score 177; epsilon 0.9220814271
2025-01-27 18:29:12,401 - dqn - INFO - Finished episode 28; total score 135; avg score 176; epsilon 0.9193151829
2025-01-27 18:29:15,396 - dqn - INFO - Finished episode 29; total score 260; avg score 179; epsilon 0.9165572373
2025-01-27 18:29:17,623 - dqn - INFO - Finished episode 30; total score 110; avg score 176; epsilon 0.9138075656
2025-01-27 18:29:19,333 - dqn - INFO - Finished episode 31; total score 110; avg score 174; epsilon 0.9110661429
2025-01-27 18:29:21,240 - dqn - INFO - Finished episode 32; total score 120; avg score 173; epsilon 0.9083329445
2025-01-27 18:29:24,481 - dqn - INFO - Finished episode 33; total score 240; avg score 175; epsilon 0.9056079456
2025-01-27 18:29:26,796 - dqn - INFO - Finished episode 34; total score 180; avg score 175; epsilon 0.9028911218
2025-01-27 18:29:28,226 - dqn - INFO - Finished episode 35; total score 125; avg score 173; epsilon 0.9001824484
2025-01-27 18:29:31,179 - dqn - INFO - Finished episode 36; total score 240; avg score 175; epsilon 0.8974819011
2025-01-27 18:29:34,435 - dqn - INFO - Finished episode 37; total score 285; avg score 178; epsilon 0.8947894554
2025-01-27 18:29:36,139 - dqn - INFO - Finished episode 38; total score 120; avg score 177; epsilon 0.8921050870
