2025-01-26 12:29:12,940 - dqn - INFO - Finished episode 55; total score 120; avg score 165; epsilon 0.7590483508
2025-01-26 12:29:17,234 - dqn - INFO - Finished episode 56; total score 320; avg score 168; epsilon 0.7552531091
2025-01-26 12:29:18,445 - dqn - INFO - Finished episode 57; total score 45; avg score 166; epsilon 0.7514768435
2025-01-26 12:29:20,550 - dqn - INFO - Finished episode 58; total score 430; avg score 170; epsilon 0.7477194593
2025-01-26 12:29:22,832 - dqn - INFO - Finished episode 59; total score 60; avg score 168; epsilon 0.7439808620
2025-01-26 12:29:27,455 - dqn - INFO - Finished episode 60; total score 335; avg score 171; epsilon 0.7402609577
2025-01-26 12:29:31,877 - dqn - INFO - Finished episode 61; total score 780; avg score 181; epsilon 0.7365596529
2025-01-26 12:29:33,300 - dqn - INFO - Finished episode 62; total score 35; avg score 178; epsilon 0.7328768546
2025-01-26 12:29:34,979 - dqn - INFO - Finished episode 63; total score 75; avg score 177; epsilon 0.7292124704
2025-01-26 12:29:36,703 - dqn - INFO - Finished episode 64; total score 65; avg score 175; epsilon 0.7255664080
2025-01-26 12:29:39,214 - dqn - INFO - Finished episode 65; total score 90; avg score 174; epsilon 0.7219385760
2025-01-26 12:29:41,184 - dqn - INFO - Finished episode 66; total score 35; avg score 172; epsilon 0.7183288831
2025-01-26 12:29:44,846 - dqn - INFO - Finished episode 67; total score 135; avg score 171; epsilon 0.7147372387
2025-01-26 12:29:48,132 - dqn - INFO - Finished episode 68; total score 150; avg score 171; epsilon 0.7111635525
2025-01-26 12:29:51,517 - dqn - INFO - Finished episode 69; total score 355; avg score 174; epsilon 0.7076077347
2025-01-26 12:29:54,785 - dqn - INFO - Finished episode 70; total score 215; avg score 174; epsilon 0.7040696961
2025-01-26 12:29:57,335 - dqn - INFO - Finished episode 71; total score 120; avg score 173; epsilon 0.7005493476
2025-01-26 12:30:00,798 - dqn - INFO - Finished episode 72; total score 120; avg score 173; epsilon 0.6970466008
2025-01-26 12:30:03,634 - dqn - INFO - Finished episode 73; total score 135; avg score 172; epsilon 0.6935613678
2025-01-26 12:30:05,556 - dqn - INFO - Finished episode 74; total score 45; avg score 170; epsilon 0.6900935610
2025-01-26 12:30:08,426 - dqn - INFO - Finished episode 75; total score 105; avg score 170; epsilon 0.6866430932
2025-01-26 12:30:10,376 - dqn - INFO - Finished episode 76; total score 130; avg score 169; epsilon 0.6832098777
2025-01-26 12:30:13,863 - dqn - INFO - Finished episode 77; total score 230; avg score 170; epsilon 0.6797938283
2025-01-26 12:30:17,129 - dqn - INFO - Finished episode 78; total score 65; avg score 169; epsilon 0.6763948592
2025-01-26 12:30:21,684 - dqn - INFO - Finished episode 79; total score 315; avg score 170; epsilon 0.6730128849
