2025-01-26 17:18:32,259 - dqn - INFO - Finished episode 55; total score 320; avg score 161; epsilon 0.7590483508
2025-01-26 17:19:00,301 - dqn - INFO - Finished episode 56; total score 410; avg score 165; epsilon 0.7552531091
2025-01-26 17:19:29,385 - dqn - INFO - Finished episode 57; total score 185; avg score 166; epsilon 0.7514768435
2025-01-26 17:19:57,797 - dqn - INFO - Finished episode 58; total score 185; avg score 166; epsilon 0.7477194593
2025-01-26 17:20:19,349 - dqn - INFO - Finished episode 59; total score 105; avg score 165; epsilon 0.7439808620
2025-01-26 17:20:46,876 - dqn - INFO - Finished episode 60; total score 210; avg score 166; epsilon 0.7402609577
2025-01-26 17:21:14,009 - dqn - INFO - Finished episode 61; total score 135; avg score 165; epsilon 0.7365596529
2025-01-26 17:21:52,825 - dqn - INFO - Finished episode 62; total score 325; avg score 168; epsilon 0.7328768546
2025-01-26 17:22:21,930 - dqn - INFO - Finished episode 63; total score 410; avg score 171; epsilon 0.7292124704
2025-01-26 17:22:35,593 - dqn - INFO - Finished episode 64; total score 50; avg score 170; epsilon 0.7255664080
2025-01-26 17:23:01,625 - dqn - INFO - Finished episode 65; total score 240; avg score 171; epsilon 0.7219385760
2025-01-26 17:23:18,836 - dqn - INFO - Finished episode 66; total score 155; avg score 170; epsilon 0.7183288831
2025-01-26 17:24:09,304 - dqn - INFO - Finished episode 67; total score 395; avg score 174; epsilon 0.7147372387
2025-01-26 17:24:36,605 - dqn - INFO - Finished episode 68; total score 210; avg score 174; epsilon 0.7111635525
2025-01-26 17:25:21,132 - dqn - INFO - Finished episode 69; total score 320; avg score 176; epsilon 0.7076077347
2025-01-26 17:25:44,371 - dqn - INFO - Finished episode 70; total score 110; avg score 175; epsilon 0.7040696961
2025-01-26 17:26:06,599 - dqn - INFO - Finished episode 71; total score 110; avg score 175; epsilon 0.7005493476
2025-01-26 17:26:35,655 - dqn - INFO - Finished episode 72; total score 210; avg score 175; epsilon 0.6970466008
2025-01-26 17:27:03,415 - dqn - INFO - Finished episode 73; total score 210; avg score 175; epsilon 0.6935613678
2025-01-26 17:27:31,681 - dqn - INFO - Finished episode 74; total score 130; avg score 175; epsilon 0.6900935610
2025-01-26 17:28:14,704 - dqn - INFO - Finished episode 75; total score 260; avg score 176; epsilon 0.6866430932
2025-01-26 17:28:36,046 - dqn - INFO - Finished episode 76; total score 115; avg score 175; epsilon 0.6832098777
2025-01-26 17:29:02,947 - dqn - INFO - Finished episode 77; total score 155; avg score 175; epsilon 0.6797938283
2025-01-26 17:29:16,789 - dqn - INFO - Finished episode 78; total score 45; avg score 173; epsilon 0.6763948592
2025-01-26 17:29:45,765 - dqn - INFO - Finished episode 79; total score 210; avg score 174; epsilon 0.6730128849
2025-01-26 17:30:02,353 - dqn - INFO - Finished episode 80; total score 50; avg score 172; epsilon 0.6696478205
2025-01-26 17:30:26,916 - dqn - INFO - Finished episode 81; total score 155; avg score 172; epsilon 0.6662995814
2025-01-26 17:30:50,796 - dqn - INFO - Finished episode 82; total score 260; avg score 173; epsilon 0.6629680835
2025-01-26 17:31:15,137 - dqn - INFO - Finished episode 83; total score 200; avg score 173; epsilon 0.6596532430
2025-01-26 17:31:27,366 - dqn - INFO - Finished episode 84; total score 45; avg score 172; epsilon 0.6563549768
2025-01-26 17:31:40,273 - dqn - INFO - Finished episode 85; total score 50; avg score 170; epsilon 0.6530732019
2025-01-26 17:32:00,005 - dqn - INFO - Finished episode 86; total score 85; avg score 169; epsilon 0.6498078359
2025-01-26 17:32:25,559 - dqn - INFO - Finished episode 87; total score 120; avg score 169; epsilon 0.6465587968
2025-01-26 17:32:51,930 - dqn - INFO - Finished episode 88; total score 155; avg score 169; epsilon 0.6433260028
2025-01-26 17:33:15,229 - dqn - INFO - Finished episode 89; total score 80; avg score 168; epsilon 0.6401093728
2025-01-26 17:33:43,480 - dqn - INFO - Finished episode 90; total score 155; avg score 168; epsilon 0.6369088259
2025-01-26 17:34:12,376 - dqn - INFO - Finished episode 91; total score 165; avg score 168; epsilon 0.6337242818
2025-01-26 17:34:36,305 - dqn - INFO - Finished episode 92; total score 110; avg score 167; epsilon 0.6305556604
2025-01-26 17:34:57,581 - dqn - INFO - Finished episode 93; total score 60; avg score 166; epsilon 0.6274028821
2025-01-26 17:35:26,156 - dqn - INFO - Finished episode 94; total score 135; avg score 166; epsilon 0.6242658676
2025-01-26 17:35:43,766 - dqn - INFO - Finished episode 95; total score 130; avg score 165; epsilon 0.6211445383
2025-01-26 17:36:10,271 - dqn - INFO - Finished episode 96; total score 130; avg score 165; epsilon 0.6180388156
