2025-01-27 21:04:29,207 - dqn - INFO - Finished episode 55; total score 220; avg score 138; epsilon 0.7590483508
2025-01-27 21:04:30,709 - dqn - INFO - Finished episode 56; total score 45; avg score 136; epsilon 0.7552531091
2025-01-27 21:04:33,661 - dqn - INFO - Finished episode 57; total score 400; avg score 140; epsilon 0.7514768435
2025-01-27 21:04:36,141 - dqn - INFO - Finished episode 58; total score 215; avg score 142; epsilon 0.7477194593
2025-01-27 21:04:40,063 - dqn - INFO - Finished episode 59; total score 230; avg score 143; epsilon 0.7439808620
2025-01-27 21:04:41,219 - dqn - INFO - Finished episode 60; total score 10; avg score 141; epsilon 0.7402609577
2025-01-27 21:04:44,100 - dqn - INFO - Finished episode 61; total score 195; avg score 142; epsilon 0.7365596529
2025-01-27 21:04:45,431 - dqn - INFO - Finished episode 62; total score 30; avg score 140; epsilon 0.7328768546
2025-01-27 21:04:47,527 - dqn - INFO - Finished episode 63; total score 95; avg score 139; epsilon 0.7292124704
2025-01-27 21:04:49,511 - dqn - INFO - Finished episode 64; total score 95; avg score 139; epsilon 0.7255664080
2025-01-27 21:04:51,623 - dqn - INFO - Finished episode 65; total score 110; avg score 138; epsilon 0.7219385760
2025-01-27 21:04:54,250 - dqn - INFO - Finished episode 66; total score 135; avg score 138; epsilon 0.7183288831
2025-01-27 21:04:57,086 - dqn - INFO - Finished episode 67; total score 410; avg score 142; epsilon 0.7147372387
2025-01-27 21:04:59,862 - dqn - INFO - Finished episode 68; total score 210; avg score 143; epsilon 0.7111635525
2025-01-27 21:05:02,590 - dqn - INFO - Finished episode 69; total score 180; avg score 144; epsilon 0.7076077347
2025-01-27 21:05:04,725 - dqn - INFO - Finished episode 70; total score 80; avg score 143; epsilon 0.7040696961
2025-01-27 21:05:07,614 - dqn - INFO - Finished episode 71; total score 210; avg score 144; epsilon 0.7005493476
2025-01-27 21:05:10,332 - dqn - INFO - Finished episode 72; total score 180; avg score 144; epsilon 0.6970466008
2025-01-27 21:05:13,229 - dqn - INFO - Finished episode 73; total score 410; avg score 148; epsilon 0.6935613678
2025-01-27 21:05:15,946 - dqn - INFO - Finished episode 74; total score 225; avg score 149; epsilon 0.6900935610
2025-01-27 21:05:18,726 - dqn - INFO - Finished episode 75; total score 210; avg score 150; epsilon 0.6866430932
2025-01-27 21:05:21,683 - dqn - INFO - Finished episode 76; total score 180; avg score 150; epsilon 0.6832098777
2025-01-27 21:05:24,276 - dqn - INFO - Finished episode 77; total score 140; avg score 150; epsilon 0.6797938283
2025-01-27 21:05:26,949 - dqn - INFO - Finished episode 78; total score 210; avg score 151; epsilon 0.6763948592
2025-01-27 21:05:29,500 - dqn - INFO - Finished episode 79; total score 210; avg score 151; epsilon 0.6730128849
2025-01-27 21:05:32,324 - dqn - INFO - Finished episode 80; total score 230; avg score 152; epsilon 0.6696478205
