2025-01-27 21:07:46,688 - dqn - INFO - Hyperparameters: {'epsilon': 1.0, 'epsilon_decay': 0.995, 'epsilon_min': 0.01, 'gamma': 0.8, 'batch_size': 64, 'learning_rate': 0.01, 'target_update': 100, 'n_steps': 3}
2025-01-27 21:07:46,689 - dqn - INFO - Device: cpu
2025-01-27 21:07:51,708 - dqn - INFO - Finished episode 0; total score 345; avg score 345; epsilon 1.0000000000
2025-01-27 21:07:53,783 - dqn - INFO - Finished episode 1; total score 55; avg score 200; epsilon 0.9950000000
2025-01-27 21:07:55,739 - dqn - INFO - Finished episode 2; total score 55; avg score 152; epsilon 0.9900250000
2025-01-27 21:07:59,318 - dqn - INFO - Finished episode 3; total score 155; avg score 152; epsilon 0.9850748750
2025-01-27 21:08:01,630 - dqn - INFO - Finished episode 4; total score 120; avg score 146; epsilon 0.9801495006
2025-01-27 21:08:04,023 - dqn - INFO - Finished episode 5; total score 105; avg score 139; epsilon 0.9752487531
2025-01-27 21:08:07,481 - dqn - INFO - Finished episode 6; total score 180; avg score 145; epsilon 0.9703725094
2025-01-27 21:08:09,772 - dqn - INFO - Finished episode 7; total score 85; avg score 138; epsilon 0.9655206468
2025-01-27 21:08:12,309 - dqn - INFO - Finished episode 8; total score 155; avg score 139; epsilon 0.9606930436
2025-01-27 21:08:15,233 - dqn - INFO - Finished episode 9; total score 140; avg score 140; epsilon 0.9558895784
2025-01-27 21:08:18,006 - dqn - INFO - Finished episode 10; total score 110; avg score 137; epsilon 0.9511101305
2025-01-27 21:08:21,661 - dqn - INFO - Finished episode 11; total score 255; avg score 147; epsilon 0.9463545798
2025-01-27 21:08:26,149 - dqn - INFO - Finished episode 12; total score 190; avg score 150; epsilon 0.9416228069
2025-01-27 21:08:29,940 - dqn - INFO - Finished episode 13; total score 335; avg score 163; epsilon 0.9369146929
2025-01-27 21:08:34,089 - dqn - INFO - Finished episode 14; total score 205; avg score 166; epsilon 0.9322301194
2025-01-27 21:08:36,932 - dqn - INFO - Finished episode 15; total score 105; avg score 162; epsilon 0.9275689688
2025-01-27 21:08:39,859 - dqn - INFO - Finished episode 16; total score 120; avg score 160; epsilon 0.9229311240
2025-01-27 21:08:42,969 - dqn - INFO - Finished episode 17; total score 105; avg score 157; epsilon 0.9183164684
2025-01-27 21:08:47,226 - dqn - INFO - Finished episode 18; total score 100; avg score 154; epsilon 0.9137248860
2025-01-27 21:08:49,150 - dqn - INFO - Finished episode 19; total score 50; avg score 148; epsilon 0.9091562616
2025-01-27 21:08:53,653 - dqn - INFO - Finished episode 20; total score 365; avg score 159; epsilon 0.9046104803
2025-01-27 21:08:57,918 - dqn - INFO - Finished episode 21; total score 225; avg score 162; epsilon 0.9000874279
2025-01-27 21:08:59,969 - dqn - INFO - Finished episode 22; total score 105; avg score 159; epsilon 0.8955869907
2025-01-27 21:09:02,954 - dqn - INFO - Finished episode 23; total score 135; avg score 158; epsilon 0.8911090558
2025-01-27 21:09:05,645 - dqn - INFO - Finished episode 24; total score 105; avg score 156; epsilon 0.8866535105
2025-01-27 21:09:09,211 - dqn - INFO - Finished episode 25; total score 155; avg score 156; epsilon 0.8822202429
2025-01-27 21:09:12,324 - dqn - INFO - Finished episode 26; total score 80; avg score 153; epsilon 0.8778091417
2025-01-27 21:09:17,522 - dqn - INFO - Finished episode 27; total score 200; avg score 155; epsilon 0.8734200960
2025-01-27 21:09:21,384 - dqn - INFO - Finished episode 28; total score 205; avg score 157; epsilon 0.8690529955
2025-01-27 21:09:23,719 - dqn - INFO - Finished episode 29; total score 160; avg score 157; epsilon 0.8647077306
2025-01-27 21:09:25,340 - dqn - INFO - Finished episode 30; total score 50; avg score 153; epsilon 0.8603841919
2025-01-27 21:09:28,472 - dqn - INFO - Finished episode 31; total score 120; avg score 152; epsilon 0.8560822710
2025-01-27 21:09:32,375 - dqn - INFO - Finished episode 32; total score 315; avg score 157; epsilon 0.8518018596
2025-01-27 21:09:34,460 - dqn - INFO - Finished episode 33; total score 50; avg score 154; epsilon 0.8475428503
2025-01-27 21:09:37,600 - dqn - INFO - Finished episode 34; total score 180; avg score 155; epsilon 0.8433051361
2025-01-27 21:09:44,031 - dqn - INFO - Finished episode 35; total score 325; avg score 160; epsilon 0.8390886104
2025-01-27 21:09:45,806 - dqn - INFO - Finished episode 36; total score 65; avg score 157; epsilon 0.8348931673
2025-01-27 21:09:48,344 - dqn - INFO - Finished episode 37; total score 35; avg score 154; epsilon 0.8307187015
2025-01-27 21:09:50,645 - dqn - INFO - Finished episode 38; total score 120; avg score 153; epsilon 0.8265651080
2025-01-27 21:09:54,098 - dqn - INFO - Finished episode 39; total score 160; avg score 153; epsilon 0.8224322824
2025-01-27 21:09:57,467 - dqn - INFO - Finished episode 40; total score 215; avg score 155; epsilon 0.8183201210
